"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
0.01615890301764011,3.703324317932129,-0.9923121929168701,12.0,0.0,25.0,3.834,740318429.0,740318429.0
0.1347908228635788,28.60329055786133,-6.603662967681885,7.0,2.0,27.0,29.356,740318434.0,740318434.0
0.1636871993541718,33.49468231201172,-6.51078462600708,14.0,4.0,28.0,34.122,740318438.0,740318438.0
0.01947586983442307,3.71958327293396,-0.5891321897506714,10.0,6.0,30.0,3.766,740318443.0,740318443.0
0.1827102899551392,32.71380996704102,-4.0168137550354,26.0,8.0,32.0,32.96,740318448.0,740318448.0
0.0290251299738884,3.695518255233765,-0.9902416467666626,12.0,0.0,45.0,3.826,740318484.0,740318484.0
0.2344742715358734,28.58315849304199,-6.599164009094238,7.0,2.0,47.0,29.336,740318489.0,740318489.0
0.232184112071991,27.71428871154785,-5.387300968170166,4.0,4.0,48.0,28.234,740318494.0,740318494.0
0.03242504596710205,3.715542078018188,-0.5885064601898193,10.0,6.0,50.0,3.762,740318498.0,740318498.0
0.3010453283786774,33.16952514648438,-4.072873592376709,21.0,8.0,52.0,33.42,740318503.0,740318503.0
0.04130132868885994,3.697333335876465,-0.9907593131065369,17.0,0.0,64.0,3.828,740318540.0,740318540.0
0.3269236087799072,28.37956809997559,-6.552374362945557,11.0,2.0,66.0,29.128,740318544.0,740318544.0
0.3186229169368744,27.24614524841309,-5.296475887298584,18.0,4.0,67.0,27.758,740318549.0,740318549.0
0.04474604874849319,3.715414047241211,-0.5885064601898193,10.0,6.0,69.0,3.762,740318554.0,740318554.0
0.4121447205543518,33.25766754150391,-4.083841800689697,27.0,8.0,71.0,33.51,740318558.0,740318558.0
0.05417885631322861,3.695235013961792,-0.9902416467666626,13.0,0.0,84.0,3.826,740318595.0,740318595.0
0.4530987739562988,30.18453216552734,-6.969433784484863,12.0,2.0,86.0,30.982,740318600.0,740318600.0
0.4175732135772705,27.49809646606445,-5.345705032348633,14.0,4.0,87.0,28.016,740318604.0,740318604.0
0.05759225785732269,3.707334756851196,-0.5872550010681152,10.0,6.0,89.0,3.754,740318609.0,740318609.0
0.06725262105464935,3.704681158065796,-0.9928298592567444,17.0,0.0,104.0,3.836,740318650.0,740318650.0
0.5892108678817749,31.84475898742676,-7.35319995880127,8.0,2.0,106.0,32.688,740318655.0,740318655.0
0.6667661666870117,35.69948196411133,-6.940486431121826,16.0,4.0,107.0,36.374,740318660.0,740318660.0
0.07087111473083496,3.724886178970337,-0.5900707840919495,10.0,6.0,109.0,3.772,740318664.0,740318664.0
0.07989132404327393,3.690903902053833,-0.9892063736915588,13.0,0.0,124.0,3.822,740318706.0,740318706.0
0.6787689924240112,30.86058044433594,-7.126449584960938,4.0,2.0,126.0,31.68,740318710.0,740318710.0
0.6117535829544067,27.59461212158203,-5.365167140960693,19.0,4.0,127.0,28.118,740318715.0,740318715.0
0.08382849395275116,3.722641229629517,-0.5897579193115234,10.0,6.0,129.0,3.77,740318719.0,740318719.0
0.09258030354976654,3.682877540588379,-0.9871358275413513,12.0,0.0,144.0,3.814,740318761.0,740318761.0
0.7118117213249207,27.92806816101074,-6.449796676635742,3.0,2.0,146.0,28.672,740318766.0,740318766.0
0.7043964266777039,27.44903945922852,-5.33730936050415,13.0,4.0,147.0,27.972,740318770.0,740318770.0
0.09682242572307587,3.722326040267944,-0.5897579193115234,10.0,6.0,149.0,3.77,740318775.0,740318775.0
0.1054906696081161,3.684463024139404,-0.9876534938812256,12.0,0.0,164.0,3.816,740318816.0,740318816.0
0.8962305188179016,30.92521476745605,-7.142645835876465,4.0,2.0,166.0,31.752,740318821.0,740318821.0
0.7994061708450317,27.4189395904541,-5.331966400146484,23.0,4.0,167.0,27.944,740318825.0,740318825.0
0.1095821484923363,3.714067220687866,-0.5885064601898193,10.0,6.0,169.0,3.762,740318830.0,740318830.0
0.1175848245620728,3.680231332778931,-0.9866182208061218,12.0,0.0,183.0,3.812,740318872.0,740318872.0
0.1204119250178337,3.727944374084473,-0.861112654209137,3.0,2.0,185.0,3.828,740318876.0,740318876.0
0.8859931230545044,27.28270721435547,-5.306016445159912,32.0,4.0,186.0,27.808,740318881.0,740318881.0
0.1220274493098259,3.717632055282593,-0.5891321897506714,10.0,6.0,188.0,3.766,740318885.0,740318885.0
0.1304305195808411,3.679798364639282,-0.9866182208061218,20.0,0.0,203.0,3.812,740318927.0,740318927.0
0.1334241479635239,3.727501392364502,-0.861112654209137,4.0,2.0,205.0,3.828,740318931.0,740318931.0
0.9785404801368713,27.20489120483398,-5.291514873504639,27.0,4.0,206.0,27.732,740318936.0,740318936.0
0.1350753605365753,3.719157695770264,-0.5894450545310974,10.0,6.0,208.0,3.768,740318941.0,740318941.0
0.1431994438171387,3.677390336990356,-0.9861005544662476,13.0,0.0,223.0,3.81,740318982.0,740318982.0
0.1463582366704941,3.7250657081604,-0.8606627583503723,9.0,2.0,225.0,3.826,740318987.0,740318987.0
1.083329558372498,27.45044898986816,-5.339980602264404,14.0,4.0,226.0,27.986,740318991.0,740318991.0
0.1482925713062286,3.724584817886353,-0.5903836488723755,10.0,6.0,228.0,3.774,740318996.0,740318996.0
0.1555436104536057,3.665287256240845,-0.9829947352409363,13.0,0.0,243.0,3.798,740319037.0,740319037.0
0.1601099818944931,3.74205470085144,-0.8647118806838989,10.0,2.0,245.0,3.844,740319042.0,740319042.0
1.189676284790039,27.69168090820312,-5.387682914733887,33.0,4.0,246.0,28.236,740319047.0,740319047.0
0.1609510034322739,3.716150522232056,-0.5891321897506714,10.0,6.0,248.0,3.766,740319051.0,740319051.0
0.1677855998277664,3.666681289672852,-0.9835123419761658,15.0,0.0,262.0,3.8,740319093.0,740319093.0
0.1719796508550644,3.729823350906372,-0.8620124459266663,11.0,2.0,264.0,3.832,740319097.0,740319097.0
1.294115781784058,27.96018409729004,-5.440727710723877,24.0,4.0,265.0,28.514,740319102.0,740319102.0
0.1734573543071747,3.719542741775513,-0.5897579193115234,10.0,6.0,267.0,3.77,740319106.0,740319106.0
0.1807737648487091,3.66993236541748,-0.9845476746559143,15.0,0.0,282.0,3.804,740319148.0,740319148.0
0.1846118867397308,3.721414804458618,-0.8602128028869629,11.0,2.0,284.0,3.824,740319152.0,740319152.0
1.391999959945679,27.96138000488281,-5.441872596740723,14.0,4.0,285.0,28.52,740319157.0,740319157.0
0.1863410174846649,3.716941595077515,-0.5894450545310974,10.0,6.0,287.0,3.768,740319162.0,740319162.0
0.1931760013103485,3.661562204360962,-0.982477068901062,16.0,0.0,302.0,3.796,740319203.0,740319203.0
0.1979109644889832,3.726585626602173,-0.8615625500679016,14.0,2.0,304.0,3.83,740319208.0,740319208.0
1.872439622879028,35.14148712158203,-6.840502262115479,8.0,4.0,305.0,35.85,740319212.0,740319212.0
0.1996318101882935,3.722186326980591,-0.5903836488723755,10.0,6.0,307.0,3.774,740319217.0,740319217.0
0.2053049951791763,3.649292707443237,-0.9793712496757507,16.0,0.0,322.0,3.784,740319258.0,740319258.0
0.2112483978271484,3.731709003448486,-0.8629122376441956,15.0,2.0,324.0,3.836,740319263.0,740319263.0
1.989974975585938,35.04457092285156,-6.822947978973389,24.0,4.0,325.0,35.758,740319268.0,740319268.0
0.2128487974405289,3.725410938262939,-0.5910094380378723,10.0,6.0,327.0,3.778,740319272.0,740319272.0
0.2175811678171158,3.640840291976929,-0.9773007035255432,16.0,0.0,342.0,3.776,740319314.0,740319314.0
0.2247409224510193,3.738729953765869,-0.8647118806838989,15.0,2.0,344.0,3.844,740319318.0,740319318.0
2.117962121963501,35.13147735595703,-6.841265678405762,24.0,4.0,345.0,35.854,740319323.0,740319323.0
0.2259711772203445,3.726617097854614,-0.5913223028182983,11.0,6.0,347.0,3.78,740319328.0,740319328.0
0.2300447970628738,3.636202573776245,-0.9762654304504395,12.0,0.0,362.0,3.772,740319369.0,740319369.0
0.2370478361845016,3.726253747940063,-0.8620124459266663,15.0,2.0,364.0,3.832,740319374.0,740319374.0
3.809375047683716,59.71665191650391,-11.63133430480957,24.0,4.0,365.0,60.958,740319378.0,740319378.0
